restaurant_name,cuisine_type,cost_of_the_order,day_of_the_week,rating,food_preparation_time,delivery_time
Han Dynasty,Chinese,6.64,Weekend,Not given,25,29
Sushi of Gari Tribeca,Japanese,31.33,Weekday,Not given,34,26
J. G. Melon,American,6.06,Weekday,4,24,27
Shake Shack,American,24.2,Weekday,Not given,22,31
Parm,Italian,15.77,Weekend,4,27,18
Cafe Mogador,Middle Eastern,29.05,Weekend,4,27,30
RedFarm Hudson,Chinese,15.96,Weekend,3,21,18
Shake Shack,American,5.72,Weekend,Not given,34,17
Jack's Wife Freda,Mediterranean,5.67,Weekday,3,24,29
Byblos Restaurant,Middle Eastern,24.2,Weekend,Not given,32,20
Pinto Nouveau Thai Bistro,Thai,11.79,Weekend,5,21,27
Cafe Habana,Mexican,8.73,Weekday,3,27,28
RedFarm Broadway,Chinese,21.93,Weekend,Not given,22,22
The Meatball Shop,American,24.2,Weekend,5,21,30
J. G. Melon,American,22.26,Weekend,5,22,25
Blue Ribbon Sushi,Japanese,14.5,Weekday,3,34,24
Blue Ribbon Fried Chicken,American,12.23,Weekend,5,27,27
Shake Shack,American,20.57,Weekend,5,24,19
TAO,Japanese,16.05,Weekend,4,23,20
Parm,Italian,25.27,Weekend,5,28,16
Sushi of Gari 46,Japanese,7.38,Weekend,Not given,29,28
Blue Ribbon Sushi,Japanese,13.78,Weekend,4,32,23
Bareburger,American,22.85,Weekday,Not given,21,30
Sushi of Gari 46,Japanese,12.13,Weekend,Not given,31,24
RedFarm Broadway,Chinese,12.9,Weekday,3,29,29
Shake Shack,American,29.49,Weekend,5,20,24
Shake Shack,American,15.76,Weekend,5,20,25
Le Grainne Cafe,French,29.25,Weekend,5,27,24
Han Dynasty,Chinese,5.82,Weekend,Not given,26,24
Westville Hudson,American,21.88,Weekend,5,20,15
Cafe Habana,Mexican,9.51,Weekend,5,22,21
Vanessa's Dumplings,Chinese,15.09,Weekend,Not given,25,25
Osteria Morini,Italian,24.2,Weekday,3,28,28
Il Bambino,Italian,29.25,Weekend,4,34,29
Parm,Italian,16.44,Weekend,5,29,26
Blue Ribbon Sushi,Japanese,24.3,Weekday,5,21,33
The Meatball Shop,Italian,6.06,Weekend,Not given,20,27
Five Guys Burgers and Fries,American,12.18,Weekend,Not given,21,19
Parm,Italian,12.08,Weekend,3,25,28
Sushi of Gari Tribeca,Japanese,19.45,Weekend,4,25,15
The Meatball Shop,Italian,9.65,Weekend,Not given,29,16
Shake Shack,American,19.74,Weekday,4,35,32
Kori Restaurant and Bar,Korean,12.18,Weekday,4,26,26
RedFarm Broadway,Chinese,14.55,Weekend,5,28,20
J. G. Melon,American,6.07,Weekday,3,29,25
Sarabeth's Restaurant,American,15.91,Weekday,Not given,20,31
DespaÌ±a,Spanish,16.98,Weekend,Not given,20,22
Sushi of Gari 46,Japanese,25.22,Weekend,Not given,32,28
Yama Japanese Restaurant,Japanese,32.93,Weekend,5,29,17
The Meatball Shop,Italian,12.08,Weekday,5,33,25
12 Chairs,Middle Eastern,29.05,Weekday,5,28,32
Rubirosa,Italian,24.3,Weekend,Not given,30,26
Blue Ribbon Sushi,Japanese,18.04,Weekend,Not given,35,28
Lamarca Pasta,Italian,9.22,Weekend,Not given,23,19
L'Express,French,29.2,Weekend,5,21,29
Mission Cantina,Mexican,29.15,Weekend,Not given,31,26
RedFarm Broadway,Chinese,12.32,Weekday,Not given,30,27
Chipotle Mexican Grill $1.99 Delivery,Mexican,19.35,Weekend,Not given,25,22
Blue Ribbon Sushi Izakaya,Japanese,29.1,Weekend,Not given,32,26
P.J. Clarke's,American,29.2,Weekend,Not given,30,22
Parm,Italian,13.68,Weekend,4,33,21
Empanada Mama (closed),Mexican,11.88,Weekend,5,23,27
Parm,Italian,14.12,Weekend,3,28,22
Sushi of Gari 46,Japanese,16.06,Weekend,Not given,31,24
Cho Dang Gol,Korean,14.02,Weekend,Not given,25,20
El Parador Cafe,Mexican,24.2,Weekend,Not given,28,18
Blue Ribbon Fried Chicken,American,8.2,Weekend,5,34,17
TAO,Japanese,24.25,Weekend,Not given,31,27
Cafe Mogador,Middle Eastern,25.27,Weekday,5,30,25
Blue Ribbon Brooklyn,American,5.97,Weekday,4,32,24
RedFarm Broadway,Chinese,22.36,Weekend,Not given,24,27
Empanada Mama (closed),Mexican,24.3,Weekday,Not given,25,24
Bareburger,American,12.13,Weekend,5,32,26
Nobu Next Door,Japanese,19.4,Weekend,Not given,28,29
The Meatball Shop,Italian,12.23,Weekend,5,35,22
Rubirosa,Italian,8.54,Weekend,Not given,34,28
L'Express,French,24.2,Weekday,Not given,28,24
Parm,Italian,8.59,Weekday,5,32,33
Rubirosa,Italian,31.67,Weekend,Not given,25,15
Sushi of Gari 46,Japanese,24.3,Weekend,3,29,23
Nobu Next Door,Japanese,29.05,Weekend,5,33,29
Burger Joint,American,12.13,Weekday,5,31,33
Sarabeth's Restaurant,American,12.23,Weekend,4,26,24
Tamarind TriBeCa,Indian,16.44,Weekend,5,23,24
The Meatball Shop,Italian,5.05,Weekend,Not given,29,19
Shake Shack,American,22.75,Weekday,4,21,27
The Meatball Shop,Italian,16.98,Weekend,Not given,32,30
Sushi of Gari 46,Japanese,12.13,Weekend,5,27,20
Blue Ribbon Sushi Izakaya,Japanese,12.08,Weekend,3,35,15
Olea,Mediterranean,12.23,Weekend,4,29,24
Boqueria,Spanish,29.05,Weekend,4,24,24
Parm,Italian,8.68,Weekend,Not given,20,19
The Meatball Shop,Italian,29.2,Weekend,5,29,23
Shake Shack,American,24.2,Weekend,Not given,25,24
The Meatball Shop,Italian,29.05,Weekend,4,32,19
Rubirosa,Italian,9.17,Weekend,4,27,25
Boqueria,Spanish,13.0,Weekend,5,26,24
The Meatball Shop,Italian,11.69,Weekend,4,35,16
Blue Ribbon Fried Chicken,American,13.0,Weekday,4,33,29
Lucky Strike,American,29.25,Weekend,4,21,21
RedFarm Hudson,Chinese,7.03,Weekday,5,32,24
Blue Ribbon Sushi,Japanese,16.11,Weekend,5,22,26
Han Dynasty,Chinese,14.8,Weekday,4,23,25
Blue Ribbon Sushi,Japanese,19.45,Weekday,Not given,22,27
The Meatball Shop,Italian,8.83,Weekday,Not given,31,25
Rubirosa,Italian,29.1,Weekend,5,28,16
Boqueria,Spanish,29.1,Weekend,Not given,28,19
Hatsuhana,Japanese,29.49,Weekend,4,22,23
Shake Shack,American,9.07,Weekend,Not given,24,16
Carmine's,Italian,21.93,Weekend,5,20,28
Paul & Jimmy's,Italian,16.05,Weekend,Not given,33,15
The Loop,Japanese,16.98,Weekend,5,26,27
Shake Shack,American,12.13,Weekday,Not given,34,26
The Smile,American,12.13,Weekend,4,29,24
TAO,Japanese,12.66,Weekday,Not given,29,29
RedFarm Hudson,Chinese,21.34,Weekend,Not given,23,17
The Smile,American,14.94,Weekend,Not given,27,22
Jack's Wife Freda,Mediterranean,12.13,Weekend,5,21,19
Blue Ribbon Fried Chicken,American,12.23,Weekday,5,33,26
Shake Shack,American,29.1,Weekday,4,29,24
Pinto Nouveau Thai Bistro,Thai,17.08,Weekend,Not given,23,16
Pylos,Mediterranean,14.02,Weekday,3,30,29
The Meatball Shop,American,14.5,Weekend,5,25,22
TAO,Japanese,6.69,Weekend,5,22,28
Vezzo Thin Crust Pizza,Italian,12.13,Weekend,5,34,26
TAO,Japanese,12.17,Weekend,5,22,16
Tamarind TriBeCa,Indian,15.77,Weekend,5,25,29
Momoya,Japanese,12.18,Weekend,4,26,25
Balthazar Boulangerie,French,12.18,Weekend,3,24,29
The Meatball Shop,Italian,16.1,Weekend,Not given,20,15
The Meatball Shop,Italian,6.4,Weekend,Not given,23,20
Momoya,Japanese,9.41,Weekend,5,26,20
The Meatball Shop,Italian,12.08,Weekend,Not given,23,23
Blue Ribbon Sushi,Japanese,8.54,Weekday,4,22,26
RedFarm Broadway,Chinese,24.25,Weekday,5,25,25
The Meatball Shop,American,7.28,Weekday,5,20,29
Shake Shack,American,6.01,Weekday,5,23,30
Olive Garden,Italian,16.1,Weekday,Not given,24,29
Dos Caminos,Mexican,11.59,Weekend,Not given,33,22
Sarabeth's Restaurant,American,29.15,Weekday,Not given,20,26
Lucky's Famous Burgers,American,5.77,Weekend,4,21,20
Blue Ribbon Fried Chicken,American,6.79,Weekend,3,28,27
Shake Shack,American,5.92,Weekday,5,34,24
Cho Dang Gol,Korean,5.77,Weekend,5,21,17
Burger Joint,American,15.72,Weekend,4,31,30
Empanada Mama (closed),Mexican,31.38,Weekend,5,24,18
RedFarm Hudson,Chinese,19.35,Weekend,Not given,30,24
V-Nam Cafe,Vietnamese,12.08,Weekend,Not given,31,19
Nobu Next Door,Japanese,15.13,Weekday,Not given,21,30
Shake Shack,American,29.25,Weekend,4,25,19
Boqueria,Spanish,24.25,Weekend,Not given,28,18
Five Leaves,American,12.13,Weekend,Not given,23,15
Nobu Next Door,Japanese,12.23,Weekday,5,31,29
Blue Ribbon Sushi Bar & Grill,Japanese,15.81,Weekend,Not given,21,25
Benihana,Japanese,5.77,Weekend,Not given,22,22
The Meatball Shop,Italian,9.17,Weekend,Not given,30,30
Jack's Wife Freda,Mediterranean,12.47,Weekend,5,34,20
Tamarind TriBeCa,Indian,25.22,Weekend,5,30,26
The Meatball Shop,Italian,33.03,Weekend,5,30,16
RedFarm Hudson,Chinese,29.44,Weekday,4,29,32
Blue Ribbon Sushi Bar & Grill,Japanese,15.96,Weekend,5,31,20
RedFarm Broadway,Chinese,12.13,Weekend,4,20,19
RedFarm Hudson,Chinese,4.75,Weekend,3,23,25
Shake Shack,American,21.83,Weekend,Not given,28,23
Bareburger,American,6.84,Weekend,5,22,24
The Meatball Shop,Italian,6.74,Weekend,Not given,30,25
The Meatball Shop,Italian,16.54,Weekday,5,32,24
RedFarm Hudson,Chinese,29.29,Weekend,4,27,21
Momoya,Japanese,12.23,Weekday,3,32,24
Blue Ribbon Sushi,Japanese,17.08,Weekday,5,35,29
Blue Ribbon Sushi,Japanese,12.13,Weekend,4,35,28
S'MAC,American,12.61,Weekday,Not given,34,24
Rubirosa,Italian,24.2,Weekend,Not given,33,28
Burger Joint,American,7.81,Weekend,3,33,24
Boqueria,Spanish,22.85,Weekend,5,28,30
Delicatessen,American,24.2,Weekend,4,21,19
12 Chairs,Middle Eastern,14.12,Weekend,Not given,31,27
Grand Sichuan International,Chinese,12.23,Weekend,Not given,24,28
Bareburger,American,14.12,Weekend,4,26,19
Rubirosa,Italian,24.35,Weekend,3,30,28
Blue Ribbon Sushi Bar & Grill,Japanese,16.74,Weekend,4,22,20
Blue Ribbon Sushi,Japanese,9.85,Weekend,3,24,15
Sushi of Gari,Japanese,9.31,Weekend,5,31,22
Shake Shack,American,17.03,Weekend,Not given,21,28
Nobu Next Door,Japanese,12.08,Weekend,Not given,21,19
Shake Shack,American,12.13,Weekday,Not given,22,25
Blue Ribbon Fried Chicken,American,8.39,Weekend,4,26,17
Xi'an Famous Foods,Chinese,6.64,Weekend,Not given,35,19
The Meatball Shop,Italian,9.22,Weekend,Not given,30,19
P.J. Clarke's,American,31.33,Weekend,4,26,19
Shake Shack,American,22.36,Weekend,4,27,27
The Kati Roll Company,Indian,20.13,Weekday,Not given,24,31
Shake Shack,American,13.1,Weekday,Not given,20,28
Joe's Shanghai _Àü£¾÷´,Chinese,22.31,Weekday,3,27,31
Waverly Diner,American,14.94,Weekend,Not given,28,28
Shake Shack,American,16.15,Weekday,4,20,26
Blue Ribbon Fried Chicken,American,25.27,Weekend,5,29,28
Friend of a Farmer,American,9.7,Weekend,Not given,35,22
Chipotle Mexican Grill $1.99 Delivery,Mexican,29.1,Weekday,5,21,29
The Smile,American,9.17,Weekday,5,26,28
Vanessa's Dumplings,Chinese,9.51,Weekend,Not given,31,23
Momoya,Japanese,6.02,Weekend,5,28,20
Blue Ribbon Fried Chicken,American,15.72,Weekend,4,25,19
Balthazar Boulangerie,French,21.25,Weekend,Not given,25,20
Chipotle Mexican Grill $1.99 Delivery,Mexican,29.1,Weekend,4,27,25
Bareburger,American,24.2,Weekend,5,27,24
Saravanaa Bhavan,Indian,9.17,Weekday,Not given,24,29
Shake Shack,American,11.69,Weekend,Not given,31,28
Schnipper's Quality Kitchen,American,25.22,Weekend,4,33,18
RedFarm Broadway,Chinese,31.87,Weekend,5,27,18
Blue Ribbon Sushi Izakaya,Japanese,9.22,Weekend,Not given,28,15
Shake Shack,American,12.18,Weekend,Not given,31,28
Blue Ribbon Sushi,Japanese,16.44,Weekend,Not given,22,18
Shake Shack,American,13.1,Weekend,4,30,29
Vezzo Thin Crust Pizza,Italian,12.13,Weekend,Not given,27,15
Sushi of Gari Tribeca,Japanese,12.13,Weekday,5,22,26
The Meatball Shop,Italian,15.57,Weekend,4,20,24
Tamarind TriBeCa,Indian,14.02,Weekday,Not given,20,25
Yama Japanese Restaurant,Japanese,24.25,Weekday,Not given,23,30
The Odeon,American,6.69,Weekend,4,30,20
The Meatball Shop,Italian,24.3,Weekend,4,29,15
Shake Shack,American,24.25,Weekday,Not given,23,30
Cafe Mogador,Middle Eastern,19.45,Weekday,4,23,29
Yama Japanese Restaurant,Japanese,9.65,Weekend,5,24,16
Shake Shack,American,12.66,Weekend,5,25,15
Hunan Manor,Chinese,5.72,Weekday,5,31,26
Sushi of Gari Tribeca,Japanese,19.02,Weekend,5,27,29
Ravagh Persian Grill,Middle Eastern,16.06,Weekend,Not given,28,21
Hatsuhana,Japanese,29.15,Weekend,3,33,28
Blue Ribbon Fried Chicken,American,12.13,Weekend,5,25,29
Shake Shack,American,19.45,Weekday,3,24,29
Parm,Italian,21.83,Weekday,Not given,23,32
Sushi of Gari Tribeca,Japanese,21.83,Weekday,Not given,34,30
5 Napkin Burger,American,29.05,Weekend,3,26,21
The Meatball Shop,Italian,12.56,Weekday,Not given,31,32
Sushi of Gari 46,Japanese,29.15,Weekday,Not given,32,32
Sushi of Gari,Japanese,12.13,Weekday,5,29,26
RedFarm Hudson,Chinese,12.23,Weekday,Not given,20,25
The Meatball Shop,American,14.55,Weekend,5,21,30
Han Dynasty,Chinese,34.19,Weekday,Not given,21,31
Five Guys Burgers and Fries,American,19.45,Weekend,5,22,23
The Meatball Shop,Italian,14.6,Weekend,5,21,23
Shake Shack,American,5.53,Weekday,4,28,26
Blue Ribbon Sushi Bar & Grill,Japanese,10.82,Weekend,Not given,25,24
Blue Ribbon Sushi,Japanese,32.93,Weekday,3,34,31
Asuka Sushi,Japanese,19.45,Weekend,5,23,23
Shake Shack,American,29.15,Weekend,5,20,21
Sushi of Gari 46,Japanese,19.35,Weekday,Not given,28,24
J. G. Melon,American,14.6,Weekend,5,32,24
Parm,Italian,11.59,Weekday,5,35,29
Melt Shop,American,29.15,Weekend,4,26,17
J. G. Melon,American,29.05,Weekend,Not given,26,28
Sushi of Gari 46,Japanese,22.46,Weekday,Not given,21,29
Jack's Wife Freda,Mediterranean,16.01,Weekday,Not given,28,33
Lucky's Famous Burgers,American,11.59,Weekend,5,26,23
ilili Restaurant,Middle Eastern,25.22,Weekday,4,32,25
Junoon,Indian,22.75,Weekend,5,29,28
J. G. Melon,American,7.33,Weekday,Not given,31,30
Momoya,Japanese,15.81,Weekend,5,25,15
Cafe Habana,Mexican,8.1,Weekend,Not given,20,16
Westville Hudson,American,16.01,Weekend,5,20,18
Five Guys Burgers and Fries,American,29.73,Weekend,5,21,25
J. G. Melon,American,10.43,Weekday,5,35,29
Delicatessen,American,32.93,Weekend,4,30,18
Chipotle Mexican Grill $1.99 Delivery,Mexican,31.33,Weekend,4,35,21
Parm,Italian,10.14,Weekday,Not given,24,28
Coppola's East,Italian,13.05,Weekend,Not given,32,16
RedFarm Broadway,Chinese,16.2,Weekend,5,29,18
Mamoun's Falafel,Mediterranean,14.46,Weekend,Not given,20,29
Serafina Fabulous Pizza,Italian,19.5,Weekday,5,22,33
Blue Ribbon Sushi,Japanese,14.5,Weekend,Not given,28,28
Five Guys Burgers and Fries,American,13.0,Weekend,4,29,27
TAO,Japanese,25.27,Weekday,Not given,33,30
Blue Ribbon Sushi,Japanese,12.08,Weekend,4,33,22
Shake Shack,American,12.18,Weekend,4,27,23
Shake Shack,American,29.1,Weekend,5,26,24
RedFarm Hudson,Chinese,12.61,Weekend,5,31,22
Sushi of Gari 46,Japanese,12.18,Weekday,Not given,24,26
Shake Shack,American,8.63,Weekend,Not given,33,19
Yama Japanese Restaurant,Japanese,9.02,Weekday,3,25,33
Osteria Morini,Italian,9.51,Weekend,Not given,22,26
Blue Ribbon Fried Chicken,American,29.05,Weekend,5,30,29
Sushi Samba,Japanese,14.02,Weekend,Not given,30,29
Carmine's,Italian,29.05,Weekday,Not given,33,32
DespaÌ±a,Spanish,16.06,Weekend,5,21,17
The Meatball Shop,Italian,24.3,Weekend,5,28,25
Blue Ribbon Sushi Bar & Grill,Japanese,12.13,Weekend,Not given,21,29
RedFarm Broadway,Chinese,9.27,Weekday,4,32,29
Blue Ribbon Sushi Bar & Grill,Japanese,4.9,Weekday,4,29,32
Emporio,Italian,31.43,Weekend,Not given,25,29
Parm,Italian,9.12,Weekend,Not given,23,21
Blue Ribbon Sushi Bar & Grill,Japanese,15.33,Weekend,5,32,29
Blue Ribbon Fried Chicken,American,12.13,Weekend,5,28,23
Jack's Wife Freda,Mediterranean,16.15,Weekday,5,22,24
Jack's Wife Freda,Mediterranean,6.74,Weekend,Not given,25,22
Parm,Italian,7.38,Weekend,Not given,26,20
Tamarind TriBeCa,Indian,6.69,Weekend,5,22,18
Hill Country Fried Chicken,Southern,12.47,Weekend,Not given,29,28
Osteria Morini,Italian,6.79,Weekday,4,32,29
Sushi of Gari 46,Japanese,12.13,Weekday,5,34,28
Shake Shack,American,12.18,Weekend,Not given,23,18
Otto Enoteca Pizzeria,Italian,24.25,Weekday,Not given,31,30
Empanada Mama (closed),Mexican,22.75,Weekend,Not given,29,18
Rubirosa,Italian,24.3,Weekday,3,29,31
The Meatball Shop,Italian,13.05,Weekday,5,23,31
CafÌ© China,Chinese,15.57,Weekday,4,34,31
Rubirosa,Italian,12.95,Weekend,4,30,25
Sushi of Gari,Japanese,22.75,Weekend,5,30,22
Momoya,Japanese,24.3,Weekend,5,28,20
Parm,Italian,14.02,Weekday,Not given,28,32
Friend of a Farmer,American,24.2,Weekend,Not given,33,27
Wa Jeal,Chinese,6.74,Weekend,Not given,32,24
Blue Ribbon Sushi,Japanese,14.02,Weekend,Not given,35,16
RedFarm Broadway,Chinese,14.07,Weekend,3,20,15
RedFarm Hudson,Chinese,12.18,Weekend,5,34,24
Jack's Wife Freda,Mediterranean,12.95,Weekday,3,22,33
Parm,Italian,15.37,Weekend,Not given,29,23
RedFarm Broadway,Chinese,7.67,Weekend,5,24,15
Vanessa's Dumplings,Chinese,8.3,Weekend,Not given,24,20
Rubirosa,Italian,12.18,Weekend,Not given,33,20
Blue Ribbon Fried Chicken,American,29.44,Weekend,4,33,27
Blue Ribbon Sushi Bar & Grill,Japanese,12.56,Weekday,Not given,32,27
Han Dynasty,Chinese,12.18,Weekend,Not given,30,15
Xi'an Famous Foods,Chinese,14.12,Weekday,3,24,31
Shake Shack,American,25.22,Weekend,Not given,28,26
Cafeteria,American,13.05,Weekend,Not given,31,16
Shake Shack,American,12.08,Weekend,5,28,23
ilili Restaurant,Middle Eastern,24.2,Weekday,4,34,24
Tamarind TriBeCa,Indian,12.47,Weekend,5,32,26
The Kati Roll Company,Indian,5.87,Weekday,Not given,26,30
Le Zie 2000 Trattoria,Italian,15.47,Weekend,Not given,22,30
Blue Ribbon Fried Chicken,American,24.3,Weekend,5,22,15
Le Grainne Cafe,French,15.96,Weekend,4,25,22
RedFarm Broadway,Chinese,24.2,Weekend,5,31,19
Momoya,Japanese,29.35,Weekday,Not given,31,30
Shake Shack,American,8.63,Weekday,Not given,31,32
Han Dynasty,Chinese,16.44,Weekday,Not given,23,29
Shake Shack,American,24.25,Weekend,4,20,29
RedFarm Broadway,Chinese,14.12,Weekend,Not given,35,23
5 Napkin Burger,American,7.91,Weekday,Not given,29,26
Han Dynasty,Chinese,19.4,Weekend,Not given,35,26
The Meatball Shop,Italian,21.34,Weekday,5,22,24
The Meatball Shop,Italian,13.19,Weekend,Not given,26,29
Han Dynasty,Chinese,9.75,Weekend,Not given,29,25
Shake Shack,American,8.2,Weekday,4,33,26
Tamarind TriBeCa,Indian,24.2,Weekend,Not given,24,29
The Meatball Shop,Italian,13.53,Weekend,5,22,24
Vanessa's Dumplings,Chinese,12.13,Weekday,Not given,31,33
S'MAC,American,9.56,Weekend,Not given,27,20
Five Guys Burgers and Fries,American,5.72,Weekday,Not given,22,24
Sushi of Gari Tribeca,Japanese,9.46,Weekend,5,32,20
Parm,Italian,15.91,Weekday,Not given,32,28
Blue Ribbon Sushi,Japanese,29.1,Weekend,4,21,15
Blue Ribbon Fried Chicken,American,12.18,Weekend,5,35,27
Westville Hudson,American,20.13,Weekend,4,29,19
Blue Ribbon Sushi,Japanese,33.37,Weekday,3,30,27
Shake Shack,American,29.15,Weekday,Not given,34,28
Sushi of Gari Tribeca,Japanese,17.03,Weekday,Not given,35,30
Han Dynasty,Chinese,22.31,Weekend,3,23,29
Sushi Samba,Japanese,31.33,Weekend,5,35,20
Tamarind TriBeCa,Indian,24.2,Weekend,4,28,26
ilili Restaurant,Middle Eastern,31.43,Weekday,3,26,29
Shake Shack,American,29.3,Weekday,5,33,32
Xi'an Famous Foods,Chinese,6.02,Weekend,5,33,24
Terakawa Ramen,Japanese,19.6,Weekday,Not given,23,26
Blue Ribbon Fried Chicken,American,6.84,Weekend,3,24,26
RedFarm Hudson,Chinese,16.49,Weekend,3,34,20
RedFarm Broadway,Chinese,12.23,Weekend,Not given,32,19
Cafe Mogador,Middle Eastern,5.77,Weekend,3,20,16
Shake Shack,American,24.3,Weekend,4,25,15
Empanada Mama (closed),Mexican,12.37,Weekend,Not given,29,25
Blue Ribbon Sushi,Japanese,19.4,Weekend,5,26,17
ilili Restaurant,Middle Eastern,12.23,Weekday,5,24,32
Balthazar Boulangerie,French,29.1,Weekend,5,31,27
Rye House,American,12.13,Weekday,4,26,30
Momoya,Japanese,25.27,Weekday,5,31,30
Shake Shack,American,11.59,Weekday,3,23,25
TAO,Japanese,13.48,Weekday,Not given,27,32
S'MAC,American,25.27,Weekend,5,20,29
Jack's Wife Freda,Mediterranean,20.71,Weekend,Not given,35,16
Blue Ribbon Sushi,Japanese,24.2,Weekend,4,29,18
Vanessa's Dumplings,Chinese,24.2,Weekend,4,20,18
The Meatball Shop,Italian,20.61,Weekend,Not given,34,30
Hiroko's Place,Japanese,13.05,Weekend,Not given,32,27
Nobu Next Door,Japanese,15.76,Weekday,Not given,27,28
Grand Sichuan International,Chinese,7.66,Weekday,5,33,31
Sushi of Gari Tribeca,Japanese,10.86,Weekday,4,28,28
Shake Shack,American,22.26,Weekday,5,33,32
P.J. Clarke's,American,31.38,Weekend,Not given,31,23
Hummus Place,Middle Eastern,29.05,Weekend,5,26,17
The Smile,American,7.81,Weekend,5,24,21
L'Express,French,16.98,Weekday,Not given,35,29
Blue Ribbon Sushi,Japanese,29.15,Weekend,4,31,19
Shake Shack,American,24.3,Weekend,5,21,24
Blue Ribbon Brooklyn,American,13.1,Weekend,Not given,32,19
5 Napkin Burger,American,25.22,Weekend,5,27,21
ilili Restaurant,Middle Eastern,32.93,Weekend,4,25,17
Rubirosa,Italian,25.27,Weekday,4,23,31
The Meatball Shop,Italian,12.95,Weekday,4,29,24
Shake Shack,American,31.43,Weekend,3,22,24
Cafe Habana,Mexican,15.62,Weekend,Not given,29,19
Zero Otto Nove,Italian,5.87,Weekend,Not given,31,18
J. G. Melon,American,8.83,Weekend,5,31,19
Olea,Mediterranean,24.2,Weekend,Not given,20,16
Blue Ribbon Fried Chicken,American,29.3,Weekend,4,28,16
Momoya,Japanese,24.3,Weekend,4,35,30
The Smile,American,25.22,Weekday,4,25,28
Blue Ribbon Fried Chicken,American,12.61,Weekend,3,30,30
Chipotle Mexican Grill $1.99 Delivery,Mexican,29.1,Weekday,4,22,32
Blue Ribbon Sushi,Japanese,21.83,Weekday,3,21,26
Blue Ribbon Fried Chicken,American,9.27,Weekend,Not given,29,16
Empanada Mama (closed),Mexican,15.37,Weekend,3,35,30
Blue Ribbon Fried Chicken,American,12.18,Weekend,4,32,22
Frank Restaurant,Italian,12.08,Weekday,4,20,31
Grand Sichuan International,Chinese,32.93,Weekend,Not given,32,28
Yama 49,Japanese,22.31,Weekend,5,29,17
Shake Shack,American,15.18,Weekday,Not given,34,30
Blue Ribbon Sushi Izakaya,Japanese,16.01,Weekday,5,23,27
Shake Shack,American,29.1,Weekend,5,29,17
Blue Ribbon Sushi,Japanese,12.18,Weekend,4,30,17
Yama Japanese Restaurant,Japanese,12.08,Weekday,Not given,25,33
RedFarm Hudson,Chinese,12.13,Weekend,Not given,31,27
Westville Hudson,American,12.56,Weekend,5,26,28
Sushi Samba,Japanese,22.36,Weekend,5,31,30
Nobu Next Door,Japanese,33.37,Weekend,4,32,21
Delicatessen,American,12.18,Weekend,Not given,24,17
Balthazar Boulangerie,French,12.23,Weekend,4,35,23
Dos Caminos,Mexican,12.18,Weekday,5,24,30
Osteria Morini,Italian,5.77,Weekend,3,24,19
Sushi of Gari 46,Japanese,16.3,Weekend,Not given,21,29
The Kati Roll Company,Indian,11.64,Weekend,4,34,18
The Meatball Shop,Italian,15.91,Weekend,Not given,26,20
Vanessa's Dumpling House,Chinese,16.49,Weekend,5,26,25
Sarabeth's West,American,14.12,Weekday,3,21,33
Rubirosa,Italian,7.95,Weekday,Not given,20,26
Nobu Next Door,Japanese,9.7,Weekend,Not given,21,19
Cafeteria,American,15.52,Weekend,3,28,30
Han Dynasty,Chinese,16.2,Weekend,Not given,29,18
Blue Ribbon Sushi,Japanese,24.3,Weekend,Not given,29,15
CafÌ© China,Chinese,12.61,Weekend,5,20,20
Sushi of Gari 46,Japanese,22.26,Weekend,5,28,22
Parm,Italian,9.07,Weekday,4,23,30
Nobu Next Door,Japanese,7.86,Weekday,5,20,27
Parm,Italian,12.23,Weekday,Not given,27,26
Shake Shack,American,21.39,Weekend,3,33,22
Shake Shack,American,16.93,Weekend,5,35,28
Mamoun's Falafel,Mediterranean,14.41,Weekend,5,33,26
Momoya,Japanese,8.05,Weekend,Not given,31,25
RedFarm Hudson,Chinese,19.35,Weekday,5,35,28
Shake Shack,American,16.98,Weekend,3,23,23
The Meatball Shop,Italian,11.64,Weekend,4,23,24
Nobu Next Door,Japanese,29.15,Weekend,Not given,27,15
Cho Dang Gol,Korean,12.18,Weekday,5,20,26
DuMont Burger,American,24.25,Weekend,3,28,20
Blue Ribbon Sushi,Japanese,19.45,Weekday,Not given,28,28
S'MAC,American,16.11,Weekday,5,25,24
Sushi of Gari 46,Japanese,31.43,Weekend,5,29,30
The Meatball Shop,Italian,25.27,Weekend,Not given,25,29
Blue Ribbon Sushi,Japanese,12.13,Weekend,3,24,23
Xi'an Famous Foods,Chinese,20.86,Weekend,4,35,26
Blue Ribbon Sushi,Japanese,8.54,Weekend,5,34,29
RedFarm Broadway,Chinese,31.43,Weekend,4,30,23
J. G. Melon,American,19.4,Weekday,4,35,26
Shake Shack,American,12.23,Weekday,4,31,24
Yama Japanese Restaurant,Japanese,6.69,Weekend,4,28,17
Blue Ribbon Fried Chicken,American,29.59,Weekend,5,23,25
Shake Shack,American,22.31,Weekend,Not given,35,28
DuMont Burger,American,12.56,Weekend,Not given,35,19
Amy Ruth's,Southern,12.23,Weekday,Not given,32,33
The Meatball Shop,Italian,13.53,Weekday,3,20,31
wichcraft,American,8.1,Weekday,5,28,28
Blue Ribbon Sushi,Japanese,5.92,Weekday,Not given,27,31
Blue Ribbon Sushi,Japanese,12.13,Weekend,5,28,15
